address,insn,classification,evidence,reason
0x180053b00,13,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 13 instructions; cannot be decided from static refs
0x180001100,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x180012b85,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x1800236f0,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x18002c970,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x18002c9a0,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x18002ca70,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x18002caf0,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x180046f90,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x180047140,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x18004ccf3,12,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 12 instructions; cannot be decided from static refs
0x180006262,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x18000fea0,11,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x18001eac3,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x180020815,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x1800233b3,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x18002bea0,11,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x18003a143,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x18003af59,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x18003cb27,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x18003e380,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x1800404aa,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x1800408ed,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x1800470fe,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x18004738d,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x180047470,11,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 11 instructions; cannot be decided from static refs
0x1800133e1,10,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 10 instructions; cannot be decided from static refs
0x18001e708,10,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 10 instructions; cannot be decided from static refs
0x18002a850,10,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 10 instructions; cannot be decided from static refs
0x180037aad,10,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 10 instructions; cannot be decided from static refs
0x18003a110,10,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 10 instructions; cannot be decided from static refs
0x18003a3da,10,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 10 instructions; cannot be decided from static refs
0x18003c9f0,10,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 10 instructions; cannot be decided from static refs
0x180054d30,10,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 10 instructions; cannot be decided from static refs
0x180010c80,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180016317,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180023b60,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180037490,9,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x1800374bd,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x18003751e,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180037840,9,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x18003786d,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180037ae0,9,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180037b0d,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x1800390dd,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180039120,9,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x18003914d,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180039180,9,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x18003a45d,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x18003a801,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x1800530c0,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x1800530f0,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180054540,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x180054630,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x1800546d0,9,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 9 instructions; cannot be decided from static refs
0x1800161d0,8,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x18001e65b,8,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x18001e6f3,8,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x180027ce6,8,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x1800374f0,8,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x18003970a,8,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x18003e3e5,8,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x180044720,8,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x180046050,8,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x180046ed2,8,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x180047371,8,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 8 instructions; cannot be decided from static refs
0x180008a30,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x180010820,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x180014f16,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x1800208a0,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x180027cc3,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x18002a270,7,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x18002a6e0,7,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x18002a830,7,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x18003a3b7,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x180046030,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x1800474e3,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x180047e40,7,uncertain,no distinctive reference | prior=plugin,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x18004ccd1,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
0x180054ddc,7,uncertain,no distinctive reference | prior=library,no plugin/library data or call target in its 7 instructions; cannot be decided from static refs
