address,insn,name,class,evidence,action
0x1800374bd,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x1800374e6,3,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x1800374f0,8,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
0x18003751e,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180037547,3,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003786d,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180037896,3,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180037a40,17,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
0x180037aad,10,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180037ae0,9,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
0x180037b0d,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180037b36,3,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x1800390b0,9,,ABSENT-PLUGIN,no distinctive reference | tier=plugin (reachable) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
0x1800390dd,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180039106,3,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180039120,9,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.000,"implement (plugin-owned, no rebuild match)"
0x18003914d,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180039176,3,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x180039730,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003a110,10,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003a143,11,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.476 (0x18001cd73),needs manual adjudication
0x18003a171,4,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003a370,17,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003a3b7,7,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.471 (0x18001cd73),needs manual adjudication
0x18003a3da,10,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003a45d,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003a486,3,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003a653,19,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.811 (0x180003373),needs manual adjudication
0x18003a6c0,26,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.627 (0x18000acb0),"implement (plugin-owned, no rebuild match)"
0x18003a71d,64,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003a801,9,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.588 (0x180020d8c),needs manual adjudication
0x18003a830,15,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.867 (0x18004a380),needs manual adjudication
0x18003a862,54,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.444 (0x18004a3b2),needs manual adjudication
0x18003aa1b,136,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003aca0,65,,ABSENT-PLUGIN,no distinctive reference | prior=plugin | tier=plugin (reachable) | best cross-all ratio=0.527 (0x18004a7b0),"implement (plugin-owned, no rebuild match)"
0x18003af59,11,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.818 (0x18004aae4),needs manual adjudication
0x18003af80,173,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.701 (0x18004ab00),needs manual adjudication
0x18003c9f0,10,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003ca10,73,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.453 (0x18001b2b4),needs manual adjudication
0x18003cb1d,5,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.750 (0x1800057e9),needs manual adjudication
0x18003cb27,11,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.200 (0x180023319),needs manual adjudication
0x18003cd70,13,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.769 (0x18000ae50),needs manual adjudication
0x18003cd9e,93,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.000,needs manual adjudication
0x18003d710,303,,UNCERTAIN,no distinctive reference | tier=library (unreached) | best cross-all ratio=0.711 (0x18004d200),needs manual adjudication
0x18003e380,11,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.636 (0x18001a260),needs manual adjudication
0x18003e39b,25,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.622 (0x18001941a),needs manual adjudication
0x18003e3e5,8,,UNCERTAIN,no distinctive reference | prior=library | tier=library (unreached) | best cross-all ratio=0.571 (0x18003292a),needs manual adjudication
